Rank;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina;Casein_Score;PA_MILK;IC_Low_MILK;IC_High_MILK;PA_FAT;IC_Low_FAT;IC_High_FAT;PA_PROT;IC_Low_PROT;IC_High_PROT;PA_SCS;IC_Low_SCS;IC_High_SCS;PA_PL;IC_Low_PL;IC_High_PL;PA_LIV;IC_Low_LIV;IC_High_LIV;PA_DPR;IC_Low_DPR;IC_High_DPR;PA_CCR;IC_Low_CCR;IC_High_CCR;PA_HCR;IC_Low_HCR;IC_High_HCR;PA_EFC;IC_Low_EFC;IC_High_EFC;PA_HLIV;IC_Low_HLIV;IC_High_HLIV;PA_UDC;IC_Low_UDC;IC_High_UDC;PA_FLC;IC_Low_FLC;IC_High_FLC;PA_BWC;IC_Low_BWC;IC_High_BWC
81;007HO17537;Shimmy;3247;815;HOBRAC6735A204242;22;1200;2606;223;519;424;114;734;2926;3.98;-95;100.0;99.8;96.2;0.0;68.2;72.5;;xA2A2;xBB;0;726.8;-1034.6;2488.3;29.4;-37.9;96.7;24.5;-23.5;72.5;2.9;2.6;3.2;2.2;-0.6;5.0;0.8;-1.2;2.9;-1.1;-3.3;1.1;0.2;-2.4;2.8;1.2;-1.2;3.6;3.9;-4.7;12.4;0.2;-1.2;1.6;0.4;-0.9;1.7;0.6;-0.6;1.8;-0.7;-2.3;0.9
82;007HO17686;Commander;3457;1141;HOBRAC6735A204254;34;1187;1859;-373;384;289;-21;599;2658;3.98;-95;100.0;98.0;82.0;0.0;68.9;72.4;;A2A2xA2A2=100%A2A2;AAxAB;3;217.8;-1543.6;1979.3;42.4;-24.9;109.7;21.0;-27.0;69.0;3.1;2.9;3.4;-0.6;-3.5;2.2;0.0;-2.1;2.1;-1.2;-3.3;1.0;0.3;-2.3;2.9;0.9;-1.5;3.4;0.2;-8.3;8.8;-0.2;-1.5;1.2;-1.3;-2.6;-0.0;-0.6;-1.8;0.5;-1.0;-2.7;0.6
83;007HO17593;Betzold;3422;1043;HOBRAC6735A204230;10;1105;2139;-430;306;211;-99;521;2780;3.98;-95;99.8;94.1;66.5;0.0;70.7;72.1;;A2A2xA2A2=100%A2A2;BBxAB=50%BB;4;1059.8;-701.6;2821.3;19.4;-47.9;86.7;20.0;-28.0;68.0;2.9;2.6;3.2;0.3;-2.6;3.1;-0.9;-3.0;1.1;-1.0;-3.2;1.2;1.0;-1.6;3.6;0.9;-1.5;3.3;3.7;-4.8;12.2;0.4;-1.0;1.8;0.2;-1.1;1.5;-0.0;-1.2;1.1;0.3;-1.3;2.0
84;522HO04563;Hendricks;3062;488;HOBRAC6735A204240;20;1104;2560;215;352;256;-54;566;2811;3.98;-95;99.9;96.7;76.1;0.0;69.5;72.0;;A2A2xA2A2=100%A2A2;ABxAB;3;848.3;-913.1;2609.8;30.9;-36.4;98.2;24.0;-24.0;72.0;3.0;2.7;3.3;0.6;-2.3;3.4;0.5;-1.6;2.6;-1.3;-3.5;0.9;0.6;-1.9;3.2;-0.5;-2.9;1.9;1.9;-6.6;10.5;0.3;-1.1;1.7;0.3;-1.0;1.6;-0.2;-1.4;0.9;0.1;-1.6;1.7
85;007HO17593;Betzold;3422;1043;HOBRAC6735A204224;4;1189;1754;-391;326;231;-79;541;2588;3.98;-95;99.8;95.4;70.9;0.0;67.7;71.7;;A2A2xA2A2=100%A2A2;BBxAA=100%AB;4;775.8;-985.6;2537.3;15.4;-51.9;82.7;16.0;-32.0;64.0;3.0;2.7;3.3;0.1;-2.8;2.9;1.0;-1.1;3.1;-1.1;-3.2;1.1;0.6;-2.0;3.2;0.2;-2.2;2.6;0.8;-7.8;9.3;-0.3;-1.7;1.1;-1.4;-2.7;-0.1;-0.8;-2.0;0.4;-1.0;-2.6;0.7
86;522HO04563;Hendricks;3062;488;HOBRAC6735A204243;23;1102;2610;269;378;283;-27;593;2836;3.98;-95;99.9;97.8;81.1;0.0;71.5;71.7;;A2A2xA1A2=50%A2A2;ABxBB=50%BB;2;528.3;-1233.1;2289.8;25.4;-41.9;92.7;18.0;-30.0;66.0;2.9;2.6;3.2;1.5;-1.3;4.3;0.8;-1.3;2.9;-0.7;-2.9;1.5;1.1;-1.5;3.7;0.4;-2.0;2.8;1.9;-6.6;10.4;0.3;-1.0;1.7;0.7;-0.6;2.0;-0.3;-1.4;0.9;-0.1;-1.7;1.5
87;007HO17697;POwered;3337;1026;HOBRAC6735A204266;46;1113;2208;-76;475;380;70;690;2772;3.98;-95;100.0;99.6;93.2;0.0;74.1;71.7;;xA2A2;xAB;0;522.8;-1238.6;2284.3;37.9;-29.4;105.2;20.5;-27.5;68.5;3.0;2.7;3.3;0.9;-2.0;3.7;1.9;-0.2;3.9;-0.6;-2.7;1.6;1.1;-1.5;3.7;-0.4;-2.8;2.0;0.8;-7.7;9.3;-0.1;-1.4;1.3;-0.8;-2.0;0.5;-0.7;-1.9;0.4;-0.3;-1.9;1.4
88;007HO17686;Commander;3457;1141;HOBRAC6735A204264;44;1120;2364;68;604;509;199;819;2910;3.98;-95;100.0;100.0;99.0;0.0;18.4;71.6;;A2A2xA2A2=100%A2A2;AAxAB;3;612.3;-1149.1;2373.8;76.4;9.1;143.7;37.0;-11.0;85.0;3.1;2.8;3.4;-0.2;-3.1;2.6;-0.6;-2.6;1.5;-2.3;-4.5;-0.1;-0.2;-2.8;2.4;0.4;-2.0;2.9;0.3;-8.2;8.9;0.0;-1.3;1.4;-0.7;-2.0;0.6;-0.5;-1.7;0.7;-0.6;-2.2;1.0
89;007HO17220;Rosemary;3323;879;HOBRAC6735A204241;21;1109;2451;-48;416;320;10;630;2887;3.98;-95;100.0;98.8;86.8;0.0;82.6;71.6;;xA2A2;xAB;0;997.8;-763.6;2759.3;21.9;-45.4;89.2;24.5;-23.5;72.5;3.0;2.7;3.3;1.9;-0.9;4.7;1.8;-0.3;3.9;0.8;-1.4;3.0;2.5;-0.1;5.0;1.4;-1.0;3.8;2.2;-6.3;10.7;0.8;-0.5;2.2;0.2;-1.1;1.5;0.1;-1.1;1.2;-0.1;-1.7;1.5
90;007HO17537;Shimmy;3247;815;HOBRAC6735A204225;5;1086;2488;134;474;379;69;689;2868;3.98;-95;100.0;99.6;93.2;0.0;71.2;71.5;;xA2A2;xAA;0;597.3;-1164.1;2358.8;29.9;-37.4;97.2;26.0;-22.0;74.0;2.9;2.7;3.2;1.7;-1.2;4.5;0.4;-1.7;2.5;-0.9;-3.1;1.3;0.9;-1.6;3.5;1.8;-0.6;4.2;2.3;-6.2;10.8;0.0;-1.4;1.4;0.3;-1.0;1.6;-0.5;-1.6;0.7;-0.8;-2.4;0.9
