Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Rank_no_Touro;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;PA_MILK;PA_FAT;PA_PROT;PA_SCS;PA_DPR;PA_CCR;PA_PL;PA_LIV;PA_HCR;PA_EFC;PA_HLIV;PA_UDC;PA_FLC;PA_BWC;IC_Low_MILK;IC_High_MILK;IC_Low_FAT;IC_High_FAT;IC_Low_PROT;IC_High_PROT;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina
007HO17686;Commander;3457;1141;37;HOBRAC6735A204233;13;1096;1621;-649;246;151;-159;461;2539;3.98;-95;99.3;88.0;51.7;0.0;56.1;65.4;195.3;27.4;11.0;3.1;-1.2;0.2;-0.7;-0.1;-0.8;-1.1;-0.0;-1.1;-0.5;-0.7;-1566.1;1956.8;-39.9;94.7;-37.0;59.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;38;HOBRAC6735A204253;33;1095;1532;-648;246;151;-159;461;2494;3.98;-95;99.3;88.1;51.8;0.0;53.8;65.0;-29.2;26.9;7.5;3.1;-1.5;-0.3;-0.6;0.2;-0.6;-1.0;0.0;-1.3;-0.8;-1.1;-1790.6;1732.3;-40.4;94.2;-40.5;55.5;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;39;HOBRAC6735A204258;38;1111;2059;-290;426;330;20;640;2758;3.98;-95;100.0;99.0;88.1;0.0;25.1;64.4;320.3;53.9;25.0;3.1;-1.9;-0.7;-0.4;-1.3;-0.2;0.2;0.0;-0.7;-0.2;-0.3;-1441.1;2081.8;-13.4;121.2;-23.0;73.0;;A2A2xA1A2=50%A2A2;AAxBE
007HO17686;Commander;3457;1141;40;HOBRAC6735A204263;43;1122;2027;-419;361;266;-44;576;2742;3.98;-95;99.9;97.2;78.0;0.0;21.3;63.3;1206.8;35.4;33.0;3.2;-2.5;-0.8;-0.7;-1.7;0.6;-0.1;-0.2;-0.2;-0.4;-0.8;-554.6;2968.3;-31.9;102.7;-15.0;81.0;;A2A2xA1A2=50%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;41;HOBRAC6735A204237;17;1097;1477;-739;201;106;-204;416;2467;3.98;-95;98.4;81.4;40.5;0.0;54.5;63.1;-142.2;26.9;9.0;3.2;-0.9;0.2;-1.1;0.0;-1.3;-1.6;-0.2;-1.6;-0.7;-0.7;-1903.6;1619.3;-40.4;94.2;-39.0;57.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;42;HOBRAC6735A204257;37;1175;1558;-531;305;210;-100;520;2508;3.98;-95;99.7;93.9;66.1;0.0;55.0;62.9;269.8;26.9;17.5;3.1;-1.4;-0.3;-0.6;0.5;-1.3;-1.2;-0.2;-1.8;-1.0;-1.1;-1491.6;2031.3;-40.4;94.2;-30.5;65.5;;A2A2xNoCall;AAxAB
007HO17686;Commander;3457;1141;43;HOBRAC6735A204228;8;1193;2246;-286;428;332;22;642;2852;3.98;-95;100.0;99.0;88.3;0.0;10.3;62.5;947.8;54.9;36.0;3.0;-3.1;-1.6;-0.2;-1.6;-0.1;1.4;0.6;-0.4;-0.0;0.2;-813.6;2709.3;-12.4;122.2;-12.0;84.0;;A2A2xA1A2=50%A2A2;AAxAB
007HO17686;Commander;3457;1141;44;HOBRAC6735A204252;32;1094;1688;-506;318;222;-88;532;2572;3.98;-95;99.8;94.8;69.0;0.0;15.8;62.1;931.3;40.9;27.5;3.2;-3.1;-1.2;-1.1;-1.9;-0.3;0.6;0.2;-1.6;-0.9;-1.0;-830.1;2692.8;-26.4;108.2;-20.5;75.5;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;45;HOBRAC6735A204231;11;1196;1335;-775;183;88;-222;398;2396;3.98;-95;97.9;78.2;36.1;0.0;51.6;61.7;496.3;17.4;10.0;3.1;-1.3;-0.2;-1.3;-0.4;-0.6;-1.5;-0.2;-1.9;-1.1;-0.9;-1265.1;2257.8;-49.9;84.7;-38.0;58.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;46;HOBRAC6735A204235;15;1100;1368;-812;164;69;-241;379;2412;3.98;-95;97.2;74.6;31.8;0.0;45.4;59.9;155.8;27.9;9.0;3.2;-2.1;-0.9;-1.8;-1.1;-1.6;-1.7;-0.2;-1.5;-0.9;-1.1;-1605.6;1917.3;-39.4;95.2;-39.0;57.0;;A2A2xA2A2=100%A2A2;AAxAA
